f,x1,x2
112.7,7.26,7.15
113.1,7.15,7.28
113.5,7.15,7.3
113.9,7.13,7.32
114.3,7.09,7.35
114.7,7.06,7.36
115.1,7.1,7.23
115.5,7.18,7.24
