	Run #6	Run #6	Run #6	Run #6	Run #6
	Date and Time	Time (s)	Position (m)	Velocity (m/s)	Acceleration (m/s²)
	11/01/2020 02:14:00 pm	0.364	0.401	-0.89	-5.2
	11/01/2020 02:14:00 pm	0.368	0.397	-0.90	-4.1
	11/01/2020 02:14:00 pm	0.372	0.393	-0.92	-2.1
	11/01/2020 02:14:00 pm	0.376	0.390	-0.92	-1.1
	11/01/2020 02:14:00 pm	0.380	0.386	-0.92	-0.5
	11/01/2020 02:14:00 pm	0.384	0.382	-0.93	0.1
	11/01/2020 02:14:00 pm	0.388	0.379	-0.92	2.1
	11/01/2020 02:14:00 pm	0.392	0.374	-0.91	3.9
	11/01/2020 02:14:00 pm	0.396	0.371	-0.89	2.9
	11/01/2020 02:14:00 pm	0.400	0.368	-0.87	0.8
	11/01/2020 02:14:00 pm	0.404	0.364	-0.89	0.6
	11/01/2020 02:14:00 pm	0.408	0.361	-0.89	-0.8
	11/01/2020 02:14:00 pm	0.412	0.357	-0.86	-7.5
	11/01/2020 02:14:00 pm	0.416	0.354	-0.93	-14.8
	11/01/2020 02:14:00 pm	0.420	0.351	-1.03	-10.5
	11/01/2020 02:14:00 pm	0.424	0.345	-1.07	5.1
	11/01/2020 02:14:00 pm	0.428	0.341	-0.97	16.1
	11/01/2020 02:14:00 pm	0.432	0.338	-0.87	15.3
	11/01/2020 02:14:00 pm	0.436	0.334	-0.84	7.6
	11/01/2020 02:14:00 pm	0.440	0.331	-0.82	1.6
	11/01/2020 02:14:00 pm	0.444	0.328	-0.83	-0.8
	11/01/2020 02:14:00 pm	0.448	0.324	-0.84	-0.3
	11/01/2020 02:14:00 pm	0.452	0.321	-0.85	2.6
	11/01/2020 02:14:00 pm	0.456	0.318	-0.82	3.6
	11/01/2020 02:14:00 pm	0.460	0.314	-0.80	2.3
	11/01/2020 02:14:00 pm	0.464	0.311	-0.81	1.1
	11/01/2020 02:14:00 pm	0.468	0.308	-0.80	1.7
	11/01/2020 02:14:00 pm	0.472	0.305	-0.78	2.3
	11/01/2020 02:14:00 pm	0.476	0.302	-0.78	1.1
	11/01/2020 02:14:00 pm	0.480	0.299	-0.78	1.3
	11/01/2020 02:14:00 pm	0.484	0.295	-0.78	4.0
	11/01/2020 02:14:00 pm	0.488	0.292	-0.75	5.5
	11/01/2020 02:14:00 pm	0.492	0.289	-0.71	3.6
	11/01/2020 02:14:00 pm	0.496	0.287	-0.72	0.1
	11/01/2020 02:14:00 pm	0.500	0.284	-0.73	0.9
	11/01/2020 02:14:00 pm	0.504	0.281	-0.73	4.5
	11/01/2020 02:14:00 pm	0.508	0.278	-0.68	4.9
	11/01/2020 02:14:00 pm	0.512	0.275	-0.66	2.6
	11/01/2020 02:14:00 pm	0.516	0.273	-0.68	1.1
	11/01/2020 02:14:00 pm	0.520	0.270	-0.66	3.3
	11/01/2020 02:14:00 pm	0.524	0.267	-0.64	5.3
	11/01/2020 02:14:00 pm	0.528	0.265	-0.61	4.2
	11/01/2020 02:14:00 pm	0.532	0.262	-0.60	2.5
	11/01/2020 02:14:00 pm	0.536	0.260	-0.61	1.8
	11/01/2020 02:14:00 pm	0.540	0.258	-0.59	3.4
	11/01/2020 02:14:00 pm	0.544	0.255	-0.58	5.0
	11/01/2020 02:14:00 pm	0.548	0.253	-0.55	4.3
	11/01/2020 02:14:00 pm	0.552	0.251	-0.53	2.0
	11/01/2020 02:14:00 pm	0.556	0.249	-0.54	0.5
	11/01/2020 02:14:00 pm	0.560	0.247	-0.54	2.5
	11/01/2020 02:14:00 pm	0.564	0.244	-0.52	5.7
	11/01/2020 02:14:00 pm	0.568	0.242	-0.48	5.3
	11/01/2020 02:14:00 pm	0.572	0.240	-0.46	6.7
	11/01/2020 02:14:00 pm	0.576	0.239	-0.48	13.4
	11/01/2020 02:14:00 pm	0.580	0.237	-0.37	19.1
	11/01/2020 02:14:00 pm	0.584	0.234	-0.25	13.5
	11/01/2020 02:14:00 pm	0.588	0.236	-0.22	-2.2
	11/01/2020 02:14:00 pm	0.592	0.234	-0.30	-10.1
	11/01/2020 02:14:00 pm	0.596	0.232	-0.38	-7.3
	11/01/2020 02:14:00 pm	0.600	0.231	-0.34	-0.9
	11/01/2020 02:14:00 pm	0.604	0.230	-0.35	3.1
	11/01/2020 02:14:00 pm	0.608	0.228	-0.34	4.6
	11/01/2020 02:14:00 pm	0.612	0.226	-0.30	6.2
	11/01/2020 02:14:00 pm	0.616	0.226	-0.28	4.9
	11/01/2020 02:14:00 pm	0.620	0.225	-0.27	2.2
	11/01/2020 02:14:00 pm	0.624	0.223	-0.27	1.1
	11/01/2020 02:14:00 pm	0.628	0.223	-0.27	1.5
	11/01/2020 02:14:00 pm	0.632	0.221	-0.25	3.1
	11/01/2020 02:14:00 pm	0.636	0.220	-0.24	8.0
	11/01/2020 02:14:00 pm	0.640	0.220	-0.22	14.9
	11/01/2020 02:14:00 pm	0.644	0.219	-0.11	18.6
	11/01/2020 02:14:00 pm	0.648	0.218	-0.02	11.6
	11/01/2020 02:14:00 pm	0.652	0.219	0.01	-2.3
	11/01/2020 02:14:00 pm	0.656	0.218	-0.06	-9.7
	11/01/2020 02:14:00 pm	0.660	0.218	-0.13	-7.6
	11/01/2020 02:14:00 pm	0.664	0.217	-0.11	-0.8
	11/01/2020 02:14:00 pm	0.668	0.217	-0.12	2.8
	11/01/2020 02:14:00 pm	0.672	0.217	-0.10	4.2
	11/01/2020 02:14:00 pm	0.676	0.216	-0.08	6.1
	11/01/2020 02:14:00 pm	0.680	0.216	-0.05	5.4
	11/01/2020 02:14:00 pm	0.684	0.216	-0.02	3.3
	11/01/2020 02:14:00 pm	0.688	0.216	-0.03	1.1
	11/01/2020 02:14:00 pm	0.692	0.216	-0.02	1.8
	11/01/2020 02:14:00 pm	0.696	0.215	-0.02	4.1
	11/01/2020 02:14:00 pm	0.700	0.216	0.01	4.6
	11/01/2020 02:14:00 pm	0.704	0.215	0.04	3.8
	11/01/2020 02:14:00 pm	0.708	0.216	0.03	2.4
	11/01/2020 02:14:00 pm	0.712	0.216	0.05	2.0
	11/01/2020 02:14:00 pm	0.716	0.216	0.06	2.3
	11/01/2020 02:14:00 pm	0.720	0.217	0.06	2.7
	11/01/2020 02:14:00 pm	0.724	0.217	0.08	4.6
	11/01/2020 02:14:00 pm	0.728	0.217	0.09	6.7
	11/01/2020 02:14:00 pm	0.732	0.217	0.13	2.9
	11/01/2020 02:14:00 pm	0.736	0.218	0.16	-6.5
	11/01/2020 02:14:00 pm	0.740	0.219	0.07	-12.4
	11/01/2020 02:14:00 pm	0.744	0.220	0.00	-5.0
	11/01/2020 02:14:00 pm	0.748	0.218	0.00	11.0
	11/01/2020 02:14:00 pm	0.752	0.219	0.11	18.4
	11/01/2020 02:14:00 pm	0.756	0.219	0.22	13.7
	11/01/2020 02:14:00 pm	0.760	0.221	0.22	5.3
	11/01/2020 02:14:00 pm	0.764	0.221	0.23	3.2
	11/01/2020 02:14:00 pm	0.768	0.222	0.24	6.0
	11/01/2020 02:14:00 pm	0.772	0.223	0.28	6.2
	11/01/2020 02:14:00 pm	0.776	0.224	0.31	3.1
	11/01/2020 02:14:00 pm	0.780	0.226	0.30	-0.1
	11/01/2020 02:14:00 pm	0.784	0.227	0.29	2.4
	11/01/2020 02:14:00 pm	0.788	0.228	0.30	2.9
	11/01/2020 02:14:00 pm	0.792	0.229	0.37	-0.2
	11/01/2020 02:14:00 pm	0.796	0.231	0.29	-3.3
	11/01/2020 02:14:00 pm	0.800	0.233	0.29	-2.1
	11/01/2020 02:14:00 pm	0.804	0.231	0.30	3.5
	11/01/2020 02:14:00 pm	0.808	0.236	0.32	5.2
	11/01/2020 02:14:00 pm	0.812	0.235	0.36	8.1
	11/01/2020 02:14:00 pm	0.816	0.237	0.36	9.9
	11/01/2020 02:14:00 pm	0.820	0.239	0.45	9.7
	11/01/2020 02:14:00 pm	0.824	0.241	0.46	7.0
	11/01/2020 02:14:00 pm	0.828	0.242	0.49	3.9
	11/01/2020 02:14:00 pm	0.832	0.245	0.49	3.8
	11/01/2020 02:14:00 pm	0.836	0.247	0.51	4.4
	11/01/2020 02:14:00 pm	0.840	0.248	0.52	5.3
	11/01/2020 02:14:00 pm	0.844	0.251	0.56	4.1
	11/01/2020 02:14:00 pm	0.848	0.253	0.57	2.5
	11/01/2020 02:14:00 pm	0.852	0.255	0.56	1.4
	11/01/2020 02:14:00 pm	0.856	0.258	0.58	3.2
	11/01/2020 02:14:00 pm	0.860	0.260	0.59	5.6
	11/01/2020 02:14:00 pm	0.864	0.262	0.63	4.6
	11/01/2020 02:14:00 pm	0.868	0.265	0.65	2.2
	11/01/2020 02:14:00 pm	0.872	0.268	0.63	1.1
	11/01/2020 02:14:00 pm	0.876	0.270	0.64	3.1
	11/01/2020 02:14:00 pm	0.880	0.272	0.66	4.5
	11/01/2020 02:14:00 pm	0.884	0.275	0.69	2.8
	11/01/2020 02:14:00 pm	0.888	0.278	0.69	1.9
	11/01/2020 02:14:00 pm	0.892	0.281	0.68	2.7
	11/01/2020 02:14:00 pm	0.896	0.283	0.71	4.5
	11/01/2020 02:14:00 pm	0.900	0.286	0.72	4.8
	11/01/2020 02:14:00 pm	0.904	0.289	0.75	2.9
	11/01/2020 02:14:00 pm	0.908	0.292	0.76	1.5
	11/01/2020 02:14:00 pm	0.912	0.295	0.75	1.0
	11/01/2020 02:14:00 pm	0.916	0.298	0.76	2.0
	11/01/2020 02:14:00 pm	0.920	0.301	0.77	2.6
	11/01/2020 02:14:00 pm	0.924	0.305	0.79	1.2
	11/01/2020 02:14:00 pm	0.928	0.307	0.79	0.7
	11/01/2020 02:14:00 pm	0.932	0.311	0.77	1.4
	11/01/2020 02:14:00 pm	0.936	0.314	0.80	3.5
	11/01/2020 02:14:00 pm	0.940	0.317	0.81	4.3
	11/01/2020 02:14:00 pm	0.944	0.321	0.84	2.2
	11/01/2020 02:14:00 pm	0.948	0.324	0.84	0.1
	11/01/2020 02:14:00 pm	0.952	0.327	0.82	-0.7
	11/01/2020 02:14:00 pm	0.956	0.330	0.83	0.0
	11/01/2020 02:14:00 pm	0.960	0.333	0.83	4.2
	11/01/2020 02:14:00 pm	0.964	0.337	0.83	12.0
	11/01/2020 02:14:00 pm	0.968	0.340	0.92	17.9
	11/01/2020 02:14:00 pm	0.972	0.343	1.03	12.4
	11/01/2020 02:14:00 pm	0.976	0.350	1.07	-4.3
	11/01/2020 02:14:00 pm	0.980	0.353	0.98	-14.9
	11/01/2020 02:14:00 pm	0.984	0.357	0.86	-12.7
	11/01/2020 02:14:00 pm	0.988	0.360	0.87	-2.6
	11/01/2020 02:14:00 pm	0.992	0.363	0.87	3.5
	11/01/2020 02:14:00 pm	0.996	0.367	0.91	1.7
	11/01/2020 02:14:01 pm	1.000	0.370	0.91	-1.9
	11/01/2020 02:14:01 pm	1.004	0.374	0.87	-3.7
	11/01/2020 02:14:01 pm	1.008	0.377	0.86	0.1
	11/01/2020 02:14:01 pm	1.012	0.381	0.87	4.2
	11/01/2020 02:14:01 pm	1.016	0.385	0.91	3.7
	11/01/2020 02:14:01 pm	1.020	0.388	0.92	-0.1
	11/01/2020 02:14:01 pm	1.024	0.392	0.90	-3.7
	11/01/2020 02:14:01 pm	1.028	0.395	0.88	-3.5
	11/01/2020 02:14:01 pm	1.032	0.399	0.86	-2.3
	11/01/2020 02:14:01 pm	1.036	0.403	0.87	-2.6
	11/01/2020 02:14:01 pm	1.040	0.406	0.86	-3.2
	11/01/2020 02:14:01 pm	1.044	0.409	0.83	-2.8
	11/01/2020 02:14:01 pm	1.048	0.413	0.83	0.1
	11/01/2020 02:14:01 pm	1.052	0.416	0.83	3.2
	11/01/2020 02:14:01 pm	1.056	0.419	0.86	-4.5
	11/01/2020 02:14:01 pm	1.060	0.423	0.88	-15.2
	11/01/2020 02:14:01 pm	1.064	0.426	0.67	-12.0
	11/01/2020 02:14:01 pm	1.068	0.430	0.65	8.9
	11/01/2020 02:14:01 pm	1.072	0.428	0.80	26.7
	11/01/2020 02:14:01 pm	1.076	0.436	0.97	15.9
	11/01/2020 02:14:01 pm	1.080	0.439	1.00	-4.2
	11/01/2020 02:14:01 pm	1.084	0.442	0.83	-13.0
	11/01/2020 02:14:01 pm	1.088	0.446	0.83	-8.5
	11/01/2020 02:14:01 pm	1.092	0.449	0.82	-2.7
	11/01/2020 02:14:01 pm	1.096	0.452	0.80	-3.3
	11/01/2020 02:14:01 pm	1.100	0.456	0.80	-1.6
	11/01/2020 02:14:01 pm	1.104	0.459	0.78	1.3
	11/01/2020 02:14:01 pm	1.108	0.462	0.81	0.6
	11/01/2020 02:14:01 pm	1.112	0.465	0.82	1.6
	11/01/2020 02:14:01 pm	1.116	0.469	0.76	3.7
	11/01/2020 02:14:01 pm	1.120	0.471	0.86	0.7
	11/01/2020 02:14:01 pm	1.124	0.474	0.86	-5.8
	11/01/2020 02:14:01 pm	1.128	0.481	0.75	-10.5
	11/01/2020 02:14:01 pm	1.132	0.480	0.74	-4.1
	11/01/2020 02:14:01 pm	1.136	0.483	0.73	-4.9
	11/01/2020 02:14:01 pm	1.140	0.489	0.78	-10.2
	11/01/2020 02:14:01 pm	1.144	0.489	0.59	-0.2
	11/01/2020 02:14:01 pm	1.148	0.492	0.64	15.4
	11/01/2020 02:14:01 pm	1.152	0.494	0.87	17.7
	11/01/2020 02:14:01 pm	1.156	0.500	0.87	-3.3
	11/01/2020 02:14:01 pm	1.160	0.502	0.78	-17.5
	11/01/2020 02:14:01 pm	1.164	0.505	0.65	-13.2
	11/01/2020 02:14:01 pm	1.168	0.508	0.67	-5.5
	11/01/2020 02:14:01 pm	1.172	0.510	0.66	-2.2
	11/01/2020 02:14:01 pm	1.176	0.513	0.63	-3.5
	11/01/2020 02:14:01 pm	1.180	0.515	0.63	-4.4
	11/01/2020 02:14:01 pm	1.184	0.518	0.61	-6.0
	11/01/2020 02:14:01 pm	1.188	0.520	0.57	-5.9
	11/01/2020 02:14:01 pm	1.192	0.522	0.55	-2.3
	11/01/2020 02:14:01 pm	1.196	0.524	0.56	0.7
	11/01/2020 02:14:01 pm	1.200	0.527	0.57	-1.8
	11/01/2020 02:14:01 pm	1.204	0.529	0.56	-5.8
	11/01/2020 02:14:01 pm	1.208	0.531	0.50	-8.8
	11/01/2020 02:14:01 pm	1.212	0.533	0.49	-2.1
	11/01/2020 02:14:01 pm	1.216	0.535	0.43	6.6
	11/01/2020 02:14:01 pm	1.220	0.538	0.58	8.3
	11/01/2020 02:14:01 pm	1.224	0.538	0.57	4.5
	11/01/2020 02:14:01 pm	1.228	0.544	0.55	-3.6
	11/01/2020 02:14:01 pm	1.232	0.542	0.56	-2.3
	11/01/2020 02:14:01 pm	1.236	0.547	0.50	-11.2
	11/01/2020 02:14:01 pm	1.240	0.549	0.57	-23.2
	11/01/2020 02:14:01 pm	1.244	0.549	0.28	-21.3
	11/01/2020 02:14:01 pm	1.248	0.553	0.23	-3.7
	11/01/2020 02:14:01 pm	1.252	0.549	0.33	16.7
	11/01/2020 02:14:01 pm	1.256	0.554	0.43	10.1
	11/01/2020 02:14:01 pm	1.260	0.556	0.48	-5.6
	11/01/2020 02:14:01 pm	1.264	0.556	0.32	-13.2
	11/01/2020 02:14:01 pm	1.268	0.558	0.30	-10.6
	11/01/2020 02:14:01 pm	1.272	0.560	0.29	-3.9
	11/01/2020 02:14:01 pm	1.276	0.560	0.26	-5.0
	11/01/2020 02:14:01 pm	1.280	0.562	0.27	-4.4
	11/01/2020 02:14:01 pm	1.284	0.562	0.20	6.3
	11/01/2020 02:14:01 pm	1.288	0.564	0.25	12.0
	11/01/2020 02:14:01 pm	1.292	0.563	0.44	1.0
	11/01/2020 02:14:01 pm	1.296	0.567	0.32	-19.4
	11/01/2020 02:14:01 pm	1.300	0.569	0.15	-20.0
	11/01/2020 02:14:01 pm	1.304	0.565	0.07	-1.0
	11/01/2020 02:14:01 pm	1.308	0.569	0.21	3.6
