"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
9.737883850E-1,-7.556775665E1,-8.566386223E0,7.464294434E-1
9.838726040E-1,-7.556684875E1,-8.565611839E0,6.128311157E-1
9.931227080E-1,-7.564318085E1,-8.464043617E0,8.434906006E-1
1.003122760E0,-7.575971985E1,-8.558084488E0,9.573822021E-1
1.013122708E0,-7.579736328E1,-8.576749802E0,8.428039551E-1
1.023122813E0,-7.556607819E1,-8.530002594E0,5.750961304E-1
1.033122865E0,-7.566315460E1,-8.622893333E0,6.316528320E-1
1.043122813E0,-7.556568909E1,-8.547143936E0,4.794540405E-1
1.053122708E0,-7.575520325E1,-8.449373245E0,5.197296143E-1
1.063122708E0,-7.581425476E1,-8.505794525E0,6.719894409E-1
1.073122760E0,-7.577660370E1,-8.574494362E0,5.946121216E-1
1.083122760E0,-7.583319855E1,-8.558919907E0,5.378112793E-1
1.093122760E0,-7.583320618E1,-8.454081535E0,7.681579590E-1
1.103122760E0,-7.572052765E1,-8.538090706E0,8.429336548E-1
1.113122708E0,-7.552882385E1,-8.529141426E0,7.085494995E-1
1.123122708E0,-7.585459900E1,-8.614148140E0,7.662658691E-1
1.133122760E0,-7.568505859E1,-8.783403397E0,7.061080933E-1
1.143138802E0,-7.554995728E1,-8.671514511E0,7.068710327E-1
1.153177396E0,-7.564613342E1,-8.711212158E0,7.449951172E-1
1.163314375E0,-7.522444916E1,-8.551782608E0,7.640991211E-1
1.173403646E0,-7.507283783E1,-8.563600540E0,8.777618408E-1
1.183493385E0,-7.528530121E1,-8.644698143E0,1.106781006E0
1.193618542E0,-7.551194763E1,-8.495258331E0,1.109703064E0
1.203710781E0,-7.520885468E1,-8.588897705E0,1.202552795E0
1.213819323E0,-7.511552429E1,-8.621526718E0,1.430747986E0
1.223122708E0,-7.517276001E1,-8.623979568E0,1.430984497E0
1.233122813E0,-7.511372375E1,-8.515139580E0,1.393890381E0
1.243122813E0,-7.551556396E1,-8.533302307E0,1.567314148E0
1.253122813E0,-7.566626740E1,-8.520709991E0,1.320053101E0
1.263122760E0,-7.558686066E1,-8.375000000E0,1.168807983E0
1.273122760E0,-7.537904358E1,-8.420196533E0,1.358139038E0
1.283122760E0,-7.549132538E1,-8.370801926E0,1.149330139E0
1.293122760E0,-7.579415894E1,-8.329360962E0,9.031372070E-1
1.303122708E0,-7.567941284E1,-8.376653671E0,7.493209839E-1
1.313122708E0,-7.575791931E1,-8.504116058E0,8.053588867E-1
1.323122708E0,-7.547093964E1,-8.526136398E0,6.128845215E-1
1.333122760E0,-7.537837982E1,-8.594374657E0,8.788146973E-1
1.343122708E0,-7.536173248E1,-8.770390511E0,8.574600220E-1
1.353122760E0,-7.545919037E1,-8.933506012E0,8.177108765E-1
1.363122760E0,-7.561389160E1,-9.029181480E0,9.317550659E-1
1.373122760E0,-7.527249908E1,-9.190967560E0,8.517990112E-1
1.383152135E0,-7.567716980E1,-9.421242714E0,9.844207764E-1
1.393222031E0,-7.567871094E1,-9.544881821E0,9.447174072E-1
1.403298490E0,-7.587001801E1,-9.605918884E0,9.066772461E-1
1.413449427E0,-7.598449707E1,-9.663243294E0,7.919769287E-1
1.423537500E0,-7.605811310E1,-9.489459038E0,7.753982544E-1
1.433664583E0,-7.601326752E1,-9.115135193E0,5.889892578E-1
