Number	Name	Desig	Family	CS	Class	DiamS	DiamF	Diam	HS	HBand	H	GS	G	AlbS	AlbF	Albedo	PF	Period	PerDesc	AmpF	AmpMin	AmpMax	U	Pole	BIN	Notes
16358	Plesetsk	1976 YN7	EUN	A	S	C		7.99	M		12.8	M	0.15	A		0.21		6.560				0.47	3	0		
16364	1979 MA5	1979 MA5	MB-O	A	C	C		11.63	M		13.4	M	0.15	A		0.057		17.59				0.58	2+	0		
16371	1981 DQ3	1981 DQ3	MB-M	A	S	C		6.04	T		14.21	G	0.740	A		0.10		3.698				0.23	2	0		
16372	1981 EP1	1981 EP1	MB-O	A	C	C		12.75	M		13.2	M	0.15	A		0.057		3.191				0.48	2	0		
16377	1981 EY11	1981 EY11	FLOR	A	S	C		2.38	T		15.28	G	0.430	A		0.24		12.167				0.27	2	0		
16382	1981 ER27	1981 ER27	FLOR	A	S	D		1.97	L		15.69	M	0.15	A		0.24		4.9				0.46	2	0		
16384	1981 ES31	1981 ES31	MB-O	A	C	C		6.90	T		14.54	G	0.025	A		0.057		43.768				0.57	2	0		
16402	Olgapopova	1984 UR	FLOR	A	S	C		5.67	M		13.4	M	0.15	A		0.24		3.7740				0.18	3-	0		
16403	1984 WJ1	1984 WJ1	MB-I	A	S	L		4.24	L		13.74	L	0.37	L		0.3138		7.5391			0.14	0.18	3	1		
16416	1987 SM3	1987 SM3	FLOR	A	S	C		3.55	T		14.42	G	0.205	A		0.24		36.506				0.38	2	0		
16421	Roadrunner	1988 BJ	H	A	E	C		3.20	M		14.4	M	0.15	A		0.30		174.			1.00	1.25	3	0		T0
16423	1988 BZ3	1988 BZ3	FLOR	A	S	C		4.50	M		13.9	M	0.15	A		0.24		3.3048				0.33	3	1		
16426	1988 EC	1988 EC	H	A	E	D		2.72	T		14.62	L	0.43	D		0.3384		33.30			0.18	0.27	3-	0		
16428	1988 RD12	1988 RD12	TR-J	A	C	C		22.43	T		11.97	G	0.580	A		0.057		20.312				0.46	2	0		
16433	1988 VX2	1988 VX2	MB-O	A	C	C		14.13	T		12.98	G	0.880	A		0.057		5.39			0.22	0.26	2	0		
16439	Yamehoshinokawa	1989 BZ	EUN	A	S	C		6.90	T		13.12	G	0.260	A		0.21		92.459				0.42	2	0		
16446	1989 MH	1989 MH	MB-O	A	C	C		15.64	T		12.76	G	0.550	A		0.057		4.977				0.65	2	0		
16457	1989 VF	1989 VF	EOS	A	S	C		8.32	T		13.15	G	0.935	A		0.14		14.422				0.17	2	0		
16462	1990 DZ1	1990 DZ1	V	A	S	C		4.23	T		14.23	G	0.755	A		0.20		62.366				0.97	2	0		
16463	Nayoro	1990 EK	MB-I	A	S	C		5.66	M		13.6	M	0.15	A		0.20		14.666				0.26	3	0		
16464	1990 EV1	1990 EV1	MB-I	A	S	C		3.31	T		14.77	G	1.000	A		0.20		3.820				0.22	2	0		
16467	1990 FD3	1990 FD3	MB-O	A	C	C		17.04	T		12.57	L	0.12	A		0.057		25.354				0.28	2+	0		
16478	1990 QS6	1990 QS6	FLOR	A	S	C		2.17	T		15.48	G	0.280	A		0.24		2.704				0.21	2	0		
16483	1990 QX8	1990 QX8	KOR	A	S	C		4.44	T		13.93	G	0.550	A		0.24		12.032				0.17	2	0		
16488	1990 RX8	1990 RX8	FLOR	A	S	C		2.69	T		15.02	G	0.540	A		0.24		3.090				0.15	2	0		
16497	Toinevermeylen	1990 SU8	FLOR	A	S	C		3.13	T		14.69	G	0.345	A		0.24		2.761				0.21	2	0		
16499	1990 SU9	1990 SU9	FLOR	A	S	C		3.26	M		14.6	M	0.15	A		0.24		5.04				0.58	2	0		
16509	1990 UE4	1990 UE4	MB-O	A	C	C		11.11	M		13.5	M	0.15	A		0.057		5.591			0.29	0.32	2	0		
16512	1990 VQ4	1990 VQ4	FLOR	A	S	C		2.67	T		15.03	G	0.355	A		0.24		37.467				0.48	2	0		
16514	Stevelia	1990 VZ6	MB-O	A	C	C		9.98	T		13.73	G	0.010	A		0.057		5.724				0.68	2	0		
16518	Akihikoito	1990 WF	FLOR	A	S	C		4.50	M		13.9	M	0.15	A		0.24		5.5845				0.98	3	0		
16524	Hausmann	1991 BB3	NYSA	A	S	C		3.18	M		14.8	M	0.15	A		0.21		9.30				0.17	2	0		
16528	Terakado	1991 GV	MB-I	A	S	C		8.18	M		12.8	M	0.15	A		0.20		23.38			0.55	0.63	2+	1		
16529	Dangoldin	1991 GO1	MC	A	S	L		7.57	L		13.6	L	0.15	L		0.112		2.8872				0.17	3	0		
16531	1991 GO8	1991 GO8	MB-I	A	S	C		2.32	T		15.53	G	0.195	A		0.20		31.210				0.38	2	0		
16532	1991 LY	1991 LY	EUN	A	S	C		5.28	T		13.7	G	0.200	A		0.21		2.766				0.23	2	0		
16539	1991 PY12	1991 PY12	EUN	A	S	C		5.53	M		13.6	M	0.15	A		0.21		4.8				0.17	2-	0		
16541	1991 PW18	1991 PW18	KOR	A	S	C		6.81	M		13.0	M	0.15	A		0.24		7.01			0.33	0.51	2	0		
