0,1,17.5
1,1.3,17.8
2,1.8,18.4
3,2.6,19.2
4,3.55,20.3
5,5.01,21.75
6,6.7,23.45
7,8.6,25.35
8,10.8,27.5
9,13.3,30
10,16.15,32.8
11,19.1,35.7
12,22.4,39.15
13,25.9,42.7
14,29.7,46.5
15,33.95,50.6
16,38.3,55.1
17,43.05,59.7
18,47.9,64.5
19,53.2,69.85
20,58.6,75.25
21,64.3,81.1
22,70.2,87
23,76.6,93.3
24,77.6,94.2
