"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
9.652543230E-1,-4.379916763E1,-4.411254883E0,-2.183360291E1
9.752543750E-1,-4.355010223E1,-4.294903755E0,-2.175696564E1
9.852543750E-1,-4.366356277E1,-4.176611900E0,-2.164044189E1
9.952543750E-1,-4.349043274E1,-4.063198566E0,-2.162075043E1
1.005254323E0,-4.335661316E1,-4.022308350E0,-2.158268738E1
1.015254271E0,-4.342855835E1,-3.794666290E0,-2.173220825E1
1.025254428E0,-4.340921783E1,-3.811100483E0,-2.180884552E1
1.035254323E0,-4.343255615E1,-3.955353737E0,-2.148606873E1
1.045254375E0,-4.330181122E1,-4.249108315E0,-2.171937561E1
1.055254323E0,-4.332346344E1,-4.356976986E0,-2.156793213E1
1.065254375E0,-4.328529739E1,-4.425234318E0,-2.172164917E1
1.075254375E0,-4.326505661E1,-4.388474941E0,-2.181671906E1
1.085254375E0,-4.340067291E1,-4.518279552E0,-2.177953339E1
1.095254323E0,-4.336355591E1,-4.465110302E0,-2.151183319E1
1.105254375E0,-4.330619049E1,-4.410127640E0,-2.141598511E1
1.115275000E0,-4.309462357E1,-4.434643269E0,-2.174174500E1
1.125466459E0,-4.312866974E1,-4.170641422E0,-2.177646637E1
1.135487500E0,-4.312713242E1,-4.047001839E0,-2.173675537E1
1.145597605E0,-4.322176361E1,-3.963059902E0,-2.165892029E1
1.155703386E0,-4.345291519E1,-4.062116146E0,-2.152547455E1
1.165810209E0,-4.345381927E1,-4.062890530E0,-2.139187622E1
1.175919480E0,-4.347212219E1,-4.097990513E0,-2.158309174E1
1.185254375E0,-4.366291809E1,-4.106165409E0,-2.158230591E1
1.195254375E0,-4.377366638E1,-3.950603962E0,-2.178980255E1
1.205254375E0,-4.375728607E1,-4.109367847E0,-2.173460388E1
1.215254375E0,-4.370093536E1,-4.230001450E0,-2.186997223E1
1.225254323E0,-4.347055817E1,-4.184028149E0,-2.200407410E1
1.235254375E0,-4.329909515E1,-4.176891804E0,-2.196661377E1
1.245254375E0,-4.341204071E1,-4.023211002E0,-2.184965515E1
1.255254375E0,-4.322406769E1,-4.174727917E0,-2.177607727E1
1.265254323E0,-4.306924438E1,-4.026522160E0,-2.179403687E1
1.275254375E0,-4.309192657E1,-4.222641468E0,-2.168185425E1
1.285254375E0,-4.310791779E1,-4.063545704E0,-2.179431152E1
1.295254375E0,-4.318296051E1,-3.925924301E0,-2.167772675E1
1.305254375E0,-4.330027008E1,-4.073048115E0,-2.156449890E1
1.315254323E0,-4.324275970E1,-4.157740116E0,-2.179486084E1
1.325254375E0,-4.303261566E1,-4.218419075E0,-2.198745728E1
1.335254323E0,-4.316632080E1,-4.101940155E0,-2.169908142E1
1.345284375E0,-4.324122238E1,-4.051573753E0,-2.179353333E1
1.355320469E0,-4.318669128E1,-4.121336937E0,-2.154653168E1
1.365429219E0,-4.326662445E1,-4.197597027E0,-2.116538239E1
1.375535886E0,-4.322988510E1,-4.232125282E0,-2.103237915E1
1.385642084E0,-4.313448334E1,-4.228037834E0,-2.103277588E1
1.395749740E0,-4.315550232E1,-4.247987747E0,-2.078480530E1
1.405856823E0,-4.313913345E1,-4.319386005E0,-2.053765106E1
1.415963125E0,-4.333120728E1,-4.503398418E0,-2.072991180E1
1.425254375E0,-4.310417938E1,-4.582613468E0,-2.063652802E1
1.435254323E0,-4.335144424E1,-4.575104237E0,-2.071162415E1
1.445254375E0,-4.335284805E1,-4.751052380E0,-2.088558960E1
1.455254323E0,-4.373585892E1,-4.873457909E0,-2.090441895E1
1.465254375E0,-4.362304688E1,-4.974829674E0,-2.088712311E1
1.475254323E0,-4.362355042E1,-5.115056992E0,-2.111790466E1
1.485254219E0,-4.346923065E1,-5.072132587E0,-2.128986359E1
1.495254428E0,-4.327688980E1,-4.975264549E0,-2.132772827E1
1.505254323E0,-4.348714447E1,-5.089427948E0,-2.149994659E1
1.515254375E0,-4.335281372E1,-5.030622482E0,-2.149983978E1
1.525254323E0,-4.321963501E1,-5.112597466E0,-2.163508606E1
1.535254271E0,-4.295122147E1,-5.100046158E0,-2.182704163E1
1.545254375E0,-4.309897614E1,-4.805339336E0,-2.189902496E1
1.555254375E0,-4.307784653E1,-4.610547543E0,-2.178218079E1
1.565254323E0,-4.313714600E1,-4.737082005E0,-2.174530792E1
1.575254323E0,-4.323370361E1,-4.777111530E0,-2.164992523E1
1.585259323E0,-4.321720886E1,-4.813452721E0,-2.134506989E1
1.595366250E0,-4.314269257E1,-4.881623745E0,-2.123175049E1
1.605473646E0,-4.325473785E1,-4.692222595E0,-2.117160797E1
1.615580678E0,-4.325577164E1,-4.693107605E0,-2.101892090E1
1.625687188E0,-4.339126587E1,-4.752908707E0,-2.084725952E1
1.635790938E0,-4.375597382E1,-4.892633915E0,-2.079003906E1
1.645901719E0,-4.386955261E1,-4.826871872E0,-2.076960754E1
1.655999480E0,-4.386967850E1,-4.879401684E0,-2.086569214E1
1.665254375E0,-4.384840393E1,-4.806811333E0,-2.103666687E1
1.675254271E0,-4.380985260E1,-4.839790821E0,-2.117086029E1
1.685254375E0,-4.358103180E1,-4.777671814E0,-2.103755188E1
1.695254323E0,-4.365412521E1,-4.690810680E0,-2.132242584E1
1.705254375E0,-4.375119019E1,-4.871067524E0,-2.145782471E1
1.715254375E0,-4.346550751E1,-4.841774464E0,-2.134426880E1
1.725254323E0,-4.367500305E1,-4.832962036E0,-2.136226654E1
1.735337136E0,-4.365515900E1,-4.726642132E0,-2.124651337E1
